Male	Female	Tissue	ExpGeneNumb.x	state.x	state.y	ExpGeneNumb.y	diff
1	B73	B84	Endosperm	19896	Hybrid	Inbred	20360.5	-464.5
2	B73	B84	Internode	22135	Hybrid	Inbred	22201.5	-66.5
3	B73	B84	Leaf	22418	Hybrid	Inbred	22215	203
4	B73	B84	Root	24931	Hybrid	Inbred	24567	364
5	B73	B84	Seedling	24390	Hybrid	Inbred	24423.5	-33.5
6	B73	CR1Ht	Endosperm	21529	Hybrid	Inbred	21060.5	468.5
7	B73	DKFAPW	Endosperm	20707	Hybrid	Inbred	21577.5	-870.5
8	B73	DKFAPW	Internode	22423	Hybrid	Inbred	22278.5	144.5
9	B73	DKFAPW	Leaf	22281	Hybrid	Inbred	22298	-17
10	B73	DKFAPW	Root	24870	Hybrid	Inbred	24528.5	341.5
11	B73	DKFAPW	Seedling	24594	Hybrid	Inbred	24577.5	16.5
12	B73	H99	Endosperm	21386	Hybrid	Inbred	21261.5	124.5
13	B73	H99	Leaf	22786	Hybrid	Inbred	22081.5	704.5
14	B73	H99	Root	24822	Hybrid	Inbred	24636	186
15	B73	H99	Seedling	24893	Hybrid	Inbred	24862	31
16	B73	LH123Ht	Endosperm	20398	Hybrid	Inbred	20487	-89
17	B73	LH123Ht	Leaf	22487	Hybrid	Inbred	22186.5	300.5
18	B73	LH123Ht	Root	24731	Hybrid	Inbred	24615.5	115.5
19	B73	LH123Ht	Seedling	24831	Hybrid	Inbred	24591.5	239.5
20	B73	LH145	Endosperm	20317	Hybrid	Inbred	20778.5	-461.5
21	B73	LH145	Internode	23015	Hybrid	Inbred	22226.5	788.5
22	B73	LH145	Leaf	22772	Hybrid	Inbred	22139.5	632.5
23	B73	LH145	Root	24841	Hybrid	Inbred	24643	198
24	B73	LH145	Seedling	23997	Hybrid	Inbred	24529	-532
25	B73	LH156	Endosperm	21166	Hybrid	Inbred	20808.5	357.5
26	B73	LH156	Leaf	22707	Hybrid	Inbred	22315	392
27	B73	LH156	Root	24969	Hybrid	Inbred	24864.5	104.5
28	B73	LH156	Seedling	24309	Hybrid	Inbred	24360.5	-51.5
29	B73	LH85	Endosperm	21759	Hybrid	Inbred	20782	977
30	B73	LH85	Internode	22732	Hybrid	Inbred	22180.5	551.5
31	B73	LH85	Leaf	22618	Hybrid	Inbred	22475.5	142.5
32	B73	LH85	Root	25055	Hybrid	Inbred	24796	259
